id,species,lat,lng,date,n_calls,ind_mean_freq,ind_sd_freq,ind_mean_time,ind_sd_time,sp_mean_freq,sp_sd_freq,sp_mean_time,sp_sd_time,z_freq,z_time,Hourly_temp,Tmax,Tmin
2649,Limnodynastes peronii,-34.292,149.972,2017-11-04,4,1195.275,421.85,0.11575,0.006994045086119096,1033.2535777572523,326.90312201730745,0.12450714798850575,0.06901385335133184,0.495625190860581,-0.1268897121846732,12.187369758366962,17.2,8.5
2840,Limnodynastes peronii,-37.7056,145.071,2017-11-10,10,1903.1399999999999,45.309704626418956,0.3257,0.009463966751139124,1033.2535777572523,326.90312201730745,0.12450714798850575,0.06901385335133184,2.660991479294262,2.9152531302269558,25.94317599333202,28.3,10.7
3007,Limnodynastes peronii,-35.1082,150.627,2017-11-10,10,703.08,148.24757670869357,0.27,0.011469767022723495,1033.2535777572523,326.90312201730745,0.12450714798850575,0.06901385335133184,-1.0100043576205786,2.1081687943263714,17.879165043402725,21.6,12.5
3042,Limnodynastes peronii,-32.90263665,151.5833849,2017-11-10,10,665.63,243.86567819190958,0.0945,0.004428443418528812,1033.2535777572523,326.90312201730745,0.12450714798850575,0.06901385335133184,-1.1245642913676088,-0.43479890676074917,14.96919345325356,22.6,12.5
3116,Crinia parinsignifera,-35.3493,149.027,2017-11-10,3,3499.9666666666667,195.1641958283674,0.19666666666666666,0.0087368949480541,3745.7335200746966,400.4386008805863,0.26865564892623717,0.1331758505542666,-0.6137441616956386,-0.5405558287028652,14.72100419728647,25.3,4.5
3132,Limnodynastes peronii,-32.101,152.384,2017-11-10,10,1340.63,125.38461761050812,0.1813,0.009310090105781888,1033.2535777572523,326.90312201730745,0.12450714798850575,0.06901385335133184,0.9402676253011563,0.8229195915547041,14.82164804281721,22.5,12
3519,Limnodynastes peronii,-27.0892,152.942,2017-11-11,10,1293.72,289.1128683864948,0.2305,0.035718809237337876,1033.2535777572523,326.90312201730745,0.12450714798850575,0.06901385335133184,0.7967694546182942,1.5358199385261364,17.75428723595219,25.3,15
4101,Limnodynastes peronii,-35.4367,149.57,2017-11-11,5,825.04,41.94863525789603,0.1508,0.010733126291998988,1033.2535777572523,326.90312201730745,0.12450714798850575,0.06901385335133184,-0.6369274679066196,0.3809793358102187,18.67163570046347,21.8,8.6
4120,Limnodynastes peronii,-32.94651822,151.4494204,2017-11-12,10,656.24,233.85358762363353,0.2012,0.014436065946094872,1033.2535777572523,326.90312201730745,0.12450714798850575,0.06901385335133184,-1.1532883975861563,1.1112674961224174,15.106069453396197,22.7,9.5
4286,Limnodynastes peronii,-33.77207064,150.7291208,2017-11-14,10,1256.29,90.55270349973607,0.0586,0.007456540752922901,1033.2535777572523,326.90312201730745,0.12450714798850575,0.06901385335133184,0.6822707010762024,-0.9549843225386844,20.04264220362704,27.2,13.1
4341,Limnodynastes peronii,-33.82910755,151.0115621,2017-11-13,6,1078.15,154.07435542620323,0.148,0.008342661445845685,1033.2535777572523,326.90312201730745,0.12450714798850575,0.06901385335133184,0.13733861569046385,0.34040777134843,15.377983568121536,23,13
4423,Limnodynastes peronii,-30.3379,153.063,2017-11-14,10,656.2,0,0.3326,0.01844631851255601,1033.2535777572523,326.90312201730745,0.12450714798850575,0.06901385335133184,-1.1534107579960329,3.0152330569363643,18.111605940747676,23.3,16
